# Project DownloadCount ErrorProbability
lark-parser 642073 0
plette 641786 1
elastic-apm 641682 0
keystoneauth1 640854 0
oslo-utils 640092 0
graphlib-backport 639790 1
aws-encryption-sdk 638925 0
flake8-comprehensions 638899 0
apache-airflow-providers-jdbc 638771 1
dbt-databricks 638566 1
cli-exit-tools 637841 1
lib-detect-testenv 637510 1
qudida 636732 1
azureml-train-core 636702 0
github3-py 636018 1
pysmb 635824 0
python-graphql-client 635734 1
slacker 635365 1
discord-py 635337 0
moviepy 634527 0
opentelemetry-instrumentation-urllib3 633796 1
onnxconverter-common 633197 1
mypy-boto3-schemas 632705 1
scs 632614 1
pyjsparser 632366 0
mypy-boto3-signer 631866 1
watchgod 631852 0
base58 631456 0
tensorflow-transform 631195 1
auth0-python 630979 1
types-pyserial 630434 1
tomesd 630134 1
umap-learn 629246 0
unidiff 628566 0
pyclipper 628517 0
pytest-order 628504 0
paginate 628103 0
dagster-pyspark 627925 1
pytest-base-url 626336 0
tfx-bsl 626059 1
country-converter 625755 1
aioconsole 625310 0
asynch 624703 1
wrapt-timeout-decorator 623824 1
ecs-logging 621929 0
sanic 621594 0
cvxpy 621464 1
treelib 621348 1
exchangelib 620481 0
stopit 620269 0
azureml-train-restclients-hyperdrive 619639 0
pytweening 619012 0
jwt 618336 0
git-remote-codecommit 617358 1
nose2 616760 0
django-allauth 616211 0
pytest-json-report 615896 0
dm-env 615360 1
shareplum 613832 1
semgrep 613338 1
func-timeout 612555 0
mypy-boto3-xray 612481 1
gcs-oauth2-boto-plugin 611333 1
pyrect 610503 0
pygetwindow 610206 0
salesforce-fuelsdk 610157 1
apache-airflow-providers-docker 606750 1
tabledata 606311 0
clang 606098 1
fpdf2 606055 1
oss2 605769 0
acryl-datahub 604527 1
jsonformatter 604388 1
ptpython 603163 0
retry-decorator 599232 0
oslo-config 597739 0
lunardate 597394 1
mouseinfo 597210 1
crypto 596951 1
hnswlib 596455 1
commentjson 595992 0
txaio 595616 0
azureml-automl-core 595502 1
proglog 594426 0
dagster-databricks 593748 1
requirements-parser 592948 0
immutables 592601 0
backports-abc 592424 0
google-reauth 591201 1
pyvirtualdisplay 590910 1
leb128 590877 0
tcolorpy 590103 0
tensorflow-model-optimization 589976 1
pytablewriter 589648 0
azureml-train-automl-client 589358 1
apache-airflow-providers-tableau 588275 1
pymsgbox 586090 0
cchardet 585951 1
janus 585583 0
gtts 585010 0
fortnitepy 584919 1
fs-s3fs 584011 0
bumpversion 582903 1
pandas-profiling 582639 1
singer-sdk 582521 1
spark-sklearn 581042 1
snowflake-ingest 580918 1
oslo-i18n 580790 0
backports-csv 580787 0
amazon-ion 578278 1
dagster-cloud 577604 1
currencyconverter 577551 1
hypercorn 577495 0
azure-mgmt-appcontainers 577376 0
flake8-isort 576629 1
smmap2 576435 1
webrtcvad-wheels 576434 1
jaeger-client 576217 0
expandvars 575991 1
reactivex 575735 0
rouge-score 575467 1
qdldl 575193 1
hashids 574380 0
aioresponses 573331 0
django-otp 572945 1
json-logging 571474 0
paste 571330 0
tableau-api-lib 569867 1
pycomposefile 569357 0
seqio 569283 1
simpleeval 569093 0
rpaframework 568924 1
azureml-pipeline-steps 568236 1
argilla 567930 1
opentelemetry-sdk-extension-aws 567859 1
flask-talisman 567583 0
markuppy 567479 1
jsonargparse 566522 1
threadloop 566466 0
mlxtend 565612 1
backports-entry-points-selectable 565182 0
python-miio 564945 0
falcon 564934 0
djangorestframework-jwt 564759 0
channels 564422 0
backports-cached-property 564214 0
pyluach 561932 1
rjsmin 561920 0
probableparsing 561053 1
pyserial-asyncio 560224 0
pathlib-mate 559662 1
python-bidi 559266 0
webtest 558297 0
tensorflowonspark 558297 1
lightning-cloud 556625 0
opentelemetry-instrumentation-django 556304 0
pytest-icdiff 555848 1
autowrapt 555644 1
progress 555132 0
bottleneck 554684 0
param 553725 0
types-simplejson 553650 1
bson 553457 0
pydata-sphinx-theme 553455 1
dvc-data 552042 0
internetarchive 552023 0
unstructured 551204 1
ibm-cloud-sdk-core 550805 0
aiomultiprocess 550634 0
pyod 550171 1
oci 549043 0
publicsuffixlist 548272 0
setuptools-git-versioning 547994 0
panel 547755 1
pyu2f 547676 0
multitasking 547152 0
unearth 546721 1
rpy2 546113 1
blendmodes 545457 1
crc32c 544916 0
colour 544697 0
pyinstrument 544066 0
neptune-client 543540 1
scmrepo 542280 1
opentelemetry-instrumentation-psycopg2 542109 1
jsons 541373 0
azureml-pipeline 540185 1
types-jsonschema 539931 1
dagster-cloud-cli 539537 1
jsmin 539516 0
python-fsutil 539462 0
speechrecognition 539062 1
prance 539022 0
qds-sdk 538439 1
flatdict 537046 0
contextvars 537025 1
opentelemetry-instrumentation-aiohttp-client 536555 0
fastcore 536463 1
tflite-model-maker-nightly 535618 1
openstacksdk 534146 0
usaddress 533912 1
cibuildwheel 531125 1
flask-httpauth 531081 0
gprof2dot 530756 0
findpython 530373 1
oslo-serialization 528990 0
stdlib-list 528640 0
riot 528117 1
jiwer 527121 0
types-pillow 526770 0
pyhanko 526358 0
mss 526235 0
pyxb 525495 0
sphinx-copybutton 525416 1
pybloom-live 525374 0
aiofile 524888 0
pinecone-client 524743 1
jupyter-server-fileid 524469 1
pymc3 523595 1
priority 523560 0
anyascii 523094 0
sgqlc 522871 1
ebcdic 522698 0
python-can 520757 1
azureml-defaults 520169 1
codeowners 519909 1
pluginbase 519451 0
social-auth-app-django 519282 0
types-deprecated 518726 1
aws-cdk-asset-node-proxy-agent-v6 518577 0
azureml-featurestore 518136 1
versioneer 518002 0
flake8-polyfill 516967 0
azureml-inference-server-http 516528 1
textblob 515598 1
pykwalify 515395 0
natto-py 515344 1
instana 514400 1
molecule 514186 1
griffe 513929 1
pdm 513441 1
looseversion 512867 0
dagster-docker 512101 1
graypy 511115 1
pyhanko-certvalidator 510884 0
basictracer 510782 1
delta 510453 1
dvc-objects 509650 0
rope 509427 1
pytest-random-order 508309 0
astropy 508134 1
sparkmeasure 507841 1
theano-pymc 506346 0
pydantic-extra-types 505086 0
polyline 504854 0
deprecat 504350 0
awkward 504217 1
qpd 504207 0
pretty-html-table 502830 1
azure-search-documents 501859 1
openapi-schema-pydantic 501497 0
sqlfluff-templater-dbt 501375 1
kaitaistruct 501298 0
ndjson 501172 1
pywinrm 500944 0
nameparser 500745 0
pattern 500511 1
jupytext 500035 1
daphne 499949 1
opentelemetry-instrumentation-sqlalchemy 498634 0
xhtml2pdf 496345 1
insightface 496100 1
memoization 495774 1
inference-schema 495618 1
jumpssh 494962 1
mercantile 494388 0
nested-lookup 494121 0
importlib 492313 1
htmldate 492193 1
teradatasqlalchemy 491985 0
pyahocorasick 491158 0
jinja2-simple-tags 490334 1
mkdocstrings-python 490189 1
validate-email 489828 0
pastedeploy 489514 0
flake8-builtins 488248 1
okta 487728 1
attrdict 487316 0
pyapacheatlas 486974 1
anyconfig 486892 0
dvc-studio-client 486724 0
pytest-dependency 486649 0
subprocess-tee 486560 1
nptyping 486119 1
icalendar 485422 0
pytest-subtests 485151 0
textual 484945 0
blobfile 483682 1
coveralls 483265 0
scikit-optimize 482996 0
alive-progress 482860 1
pydeprecate 482793 0
jsonpath-rw-ext 481955 0
blosc2 480422 1
azureml-sdk 479963 1
venusian 479912 0
formulaic 478898 0
algoliasearch 478656 1
dvc-http 478248 0
python-keycloak 477656 0
intelhex 477515 0
readthedocs-sphinx-ext 477321 0
pysimplegui 476615 0
repoze-lru 475988 0
python-benedict 475935 0
prefect 475792 1
backports-shutil-get-terminal-size 475668 1
biopython 474045 0
pyorc 474006 1
dvc-task 473870 0
deepl 473533 0
simplefix 473279 0
jinjasql 472321 1
python-gflags 471927 1
arabic-reshaper 471410 0
cloudformation-cli 470685 0
cloudformation-cli-java-plugin 470468 0
edgegrid-python 470284 1
statsforecast 469548 1
httpstan 469453 0
mypy-boto3-events 468891 0
avro-gen3 468101 1
spotinst-agent 467822 1
numpy-financial 467697 0
jupyter-server-ydoc 467244 1
mongomock 467023 0
ypy-websocket 466843 0
pynut3 466779 1
fasttext-langdetect 466582 1
types-markdown 465423 0
xmljson 465045 0
java-access-bridge-wrapper 464876 1
objgraph 464811 0
gnureadline 464736 1
translate 464177 1
libretranslatepy 464064 1
sentinels 463175 0
grandalf 462164 0
tk 461767 1
bellows 461011 0
eli5 460652 1
awkward-cpp 460195 1
tbb 459878 1
mlflow-watsonml 458786 1
apache-airflow-providers-microsoft-azure 458515 1
tbats 458472 0
truststore 458321 0
synapseclient 458163 1
phonenumberslite 457885 1
zigpy-xbee 457719 0
colorclass 457561 0
luigi 457391 0
moreorless 457175 0
zha-quirks 456785 0
zigpy-deconz 456563 0
zigpy-znp 456207 1
robocorp-storage 455994 1
pydruid 455871 0
splunk-handler 455611 1
fysom 455592 1
sphinx-argparse 455095 1
elasticsearch6 454919 1
braceexpand 454713 0
zigpy-zigate 454380 0
tzwhere 451976 1
types-psutil 451961 0
recommonmark 451931 1
binpacking 451587 1
datacompy 451317 0
argh 450999 0
android-backup 450727 0
colorzero 450711 0
googletrans 449732 0
ecos 449079 0
pure-pcapy3 448833 0
discord 448519 1
django-widget-tweaks 447854 0
publish-event-sns 447792 1
bashlex 446854 0
fairseq 445918 1
pyshp 445794 0
docker-image-py 444679 1
mypy-boto3-appconfig 444344 1
djangorestframework-stubs 444078 0
wmi 443838 1
robotframework-jsonlibrary 442871 1
pantab 442764 1
checkdigit 441928 1
yarn-api-client 441409 1
datamodel-code-generator 440972 1
pysaml2 439687 0
types-psycopg2 439684 0
aws-logging-handlers 439170 1
azure-monitor-opentelemetry-exporter 438357 1
flask-opentracing 438236 1
easyprocess 437949 0
h5netcdf 437298 1
platformio 436636 1
fugue 436606 0
django-rq 436577 0
plaid-python 436555 0
types-markupsafe 436499 1
livereload 436468 0
types-jinja2 436208 1
codespell 436082 0
josepy 435997 1
gcovr 435492 0
msoffcrypto-tool 435180 0
triad 434673 0
nagisa 434630 1
awacs 433947 0
databricks-feature-store 433781 1
utm 433527 1
doit 430289 1
iso3166 430268 0
customtkinter 429762 1
grpcio-opentracing 429051 1
pyjarowinkler 428891 1
dateutils 428865 0
types-retry 428060 1
pyobjc-framework-quartz 428012 1
geoalchemy2 428006 0
tox-gh-actions 427929 1
log-symbols 427926 0
cement 427180 0
undetected-chromedriver 426639 1
spinners 426565 0
halo 426155 0
libify 425313 1
django-anymail 425191 1
django-ses 424962 1
sqlmodel 424941 0
pyawscron 424874 1
yattag 424741 0
ansible-base 424280 0
flask-marshmallow 423844 0
editorconfig 423358 0
open-flamingo 423249 1
rarfile 422822 0
quantlib 422816 0
retry2 422573 0
apache-airflow-providers-odbc 422025 1
ibm-db 421905 1
crayons 421785 0
codecov 421661 0
ddt 421367 0
scikit-base 421251 1
aws-secretsmanager-caching 420782 1
pantsbuild-pants 420352 1
bitstruct 419943 0
workalendar 418940 1
googleads 418616 1
circuitbreaker 418300 0
cohere 417936 0
schedula 417613 1
sqlitedict 416884 0
sse-starlette 416627 1
port-for 416292 0
mkdocs-autorefs 415893 0
dynet 415874 1
ansicolors 415449 0
django-silk 414643 0
poyo 414539 0
pyairtable 413925 0
types-colorama 412447 0
opentelemetry-instrumentation-redis 412163 1
xlutils 411653 1
testtools 411453 1
apache-airflow-providers-celery 411267 1
google-benchmark 410989 1
click-spinner 410067 0
sphinxcontrib-websupport 409586 1
livy 409439 1
scikit-plot 409427 1
msgspec 409371 0
model-bakery 409249 0
ghapi 409106 1
boa-str 409038 1
flake8-black 408936 1
django-oauth-toolkit 408662 0
meson-python 407680 1
pyviz-comms 407466 0
open3d 407192 1
numcodecs 407143 1
shyaml 407093 1
pismosendlogs 406911 1
azure-ai-formrecognizer 406620 1
pandarallel 406490 1
gssapi 406266 1
python-tools-scripts 405476 1
debtcollector 404915 0
suds-py3 404316 1
shrub-py 402758 1
line-bot-sdk 402276 1
types-dataclasses 402140 0
pyspark-pandas 401884 1
trailrunner 400672 0
mkdocstrings 400226 1
flake8-quotes 400018 0
typing-utils 399998 1
authcaptureproxy 399273 0
wincertstore 398503 1
pynumdiff 398415 1
pytest-socket 398288 0
types-ujson 398157 1
anyjson 397445 1
azure-eventhub-checkpointstoreblob-aio 397065 1
pyston 397046 1
clang-format 397007 1
pyston-autoload 396975 1
channels-redis 396972 0
furo 396535 1
mpld3 396439 1
acme 395778 1
pyvis 395633 0
mysql 395512 1
types-decorator 394791 0
python-certifi-win32 394222 0
pytype 393989 1
policyuniverse 393801 0
couchbase 393787 1
segment-analytics-python 393753 1
strawberry-graphql 393750 0
jupyter-nbextensions-configurator 393604 1
h2o 393579 1
restrictedpython 393194 1
tinydb 392784 0
patool 391851 0
flake8-print 391138 0
databricks-pypi1 391095 1
fcm-django 391061 1
uszipcode 390800 1
aws-assume-role-lib 390743 1
swifter 390615 1
pydrive 390515 1
django-mptt 390250 1
numpydoc 390032 1
nose-timer 390005 0
pyerfa 389894 0
python3-logstash 389541 1
imutils 389536 0
nanotime 389305 0
cyksuid 388687 1
os-service-types 388658 0
darkdetect 387704 0
a2wsgi 387685 1
jsbeautifier 387035 0
aiorwlock 387000 1
ordereddict 386251 1
python-xlib 385684 1
pandavro 385406 1
aws-cdk-asset-node-proxy-agent-v5 385160 0
ccxt 384214 0
hdbscan 382901 0
clarabel 382471 1
prefect-aws 382364 1
oauth2 382328 0
pytoolconfig 382141 1
eradicate 382025 0
zarr 381814 1
sparqlwrapper 381534 1
fairscale 381450 1
sphinx-basic-ng 381434 1
jplephem 380820 0
textile 380371 0
gevent-websocket 379430 0
types-aiofiles 379359 0
pyobjc 379341 1
executor 378797 0
types-freezegun 378144 0
starlette-exporter 377876 1
json-delta 377315 1
pytest-messenger 377041 1
pyopengl 374803 0
ufmt 374727 1
tm1py 373729 1
mdxpy 373105 1
stepfunctions 372720 1
yellowbrick 372689 1
sqlalchemy-mate 372686 0
cloudformation-cli-go-plugin 372193 0
theano 371780 0
pandas-datareader 371491 0
mirakuru 371431 0
gorilla 370897 0
tecton 370872 1
polling2 370741 1
grapheme 370593 0
tensorflow-gpu 370544 1
python-iso639 370072 0
pyobjc-framework-coreservices 370064 1
stomp-py 369994 1
elasticsearch-dbapi 369978 1
structlog-sentry 369407 0
pyspark-dist-explore 369295 1
jupyter-contrib-core 368730 1
adagio 368313 0
pybase62 367986 0
pyhdb 367819 1
pyobjc-framework-addressbook 367442 1
pytest-assume 367402 1
zenpy 367328 1
azure-monitor-query 367131 1
pyobjc-framework-exceptionhandling 366896 1
bazel-runfiles 366744 0
sspilib 366548 1
pyobjc-framework-automator 366524 1
pyobjc-framework-launchservices 365842 1
fugue-sql-antlr 365450 0
fiscalyear 365036 1
delighted 364920 1
pyobjc-framework-fsevents 364880 1
pyobjc-framework-osakit 364647 1
rpyc 364311 0
google-cloud-error-reporting 364214 0
pytest-aiohttp 363299 0
gymnasium 363276 1
pyobjc-framework-syncservices 363032 1
sphinx-autobuild 362705 1
pyobjc-framework-screensaver 362648 1
uptime 362422 0
pyobjc-framework-coremedia 362360 1
sgp4 362351 0
micloud 362279 0
pyobjc-framework-searchkit 362254 1
about-time 362232 1
python-etcd 362011 0
typeshed-client 361840 1
pyobjc-framework-avfoundation 361810 1
pyobjc-framework-eventkit 361523 1
pyobjc-framework-servicemanagement 361503 1
mxnet 360950 0
pyobjc-framework-instantmessage 360857 1
pyobjc-framework-notificationcenter 360765 1
enrich 360414 1
msgraph-core 360319 1
pyobjc-framework-accounts 360312 1
pyobjc-framework-corewlan 360245 1
pyobjc-framework-coreml 360241 1
fastai 360036 1
setuptools-scm-git-archive 359978 0
pyobjc-framework-avkit 359849 1
pyobjc-framework-coremediaio 359783 1
pyobjc-framework-dictionaryservices 359648 1
pyobjc-framework-multipeerconnectivity 359593 1
giturlparse 359311 1
pyobjc-framework-findersync 359308 1
pytest-azurepipelines 359246 1
pyobjc-framework-naturallanguage 359057 1
pyobjc-framework-netfs 359045 1
certbot 358926 1
geocoder 358675 1
pyobjc-framework-network 358549 1
django-picklefield 358482 0
pyxdg 357958 0
cvdupdate 357639 1
django-nose 357552 0
xmlrunner 357540 1
apache-airflow-providers-mongo 357433 1
progressbar 357141 0
mecab-python3 356553 1
nbsphinx 356541 1
flake8-eradicate 356461 1
sekkaybot 356157 1
weaviate-client 355907 0
hstspreload 355696 0
ratelim 355345 0
pyglet 354463 1
slack-bolt 353801 0
swagger-spec-validator 353638 1
pythainlp 353542 1
colored 353195 1
seqeval 353125 1
requests-pkcs12 353117 0
json2table 352743 1
statistics 352272 0
segtok 352195 1
pytest-lazy-fixture 351769 0
django-ckeditor 351763 0
pyinotify 351477 0
apache-airflow-providers-presto 350864 1
pip-requirements-parser 350639 0
types-croniter 350157 1
confuse 349452 0
pillow-heif 348817 1
sphinx-tabs 348696 1
easydict 348445 0
rcssmin 348168 0
python-gvm 347939 0
tinysegmenter 347709 1
pytest-dotenv 347581 0
casefy 347237 0
opentelemetry-propagator-aws-xray 347218 1
prospector 346805 1
flask-mail 346728 0
pyramid 346455 0
asyncstdlib 346307 0
crontab 345607 1
types-pymysql 345601 1
bezier 345585 1
pgeocode 345239 1
drf-nested-routers 345085 0
pytorch-ignite 345018 1
nulltype 343639 0
detect-secrets 343435 0
lifelines 343372 1
mangum 343031 0
geoip2-tools 342909 1
arpeggio 342357 0
jupyter-highlight-selected-word 342237 1
pyrtf3 342180 1
tensorflow-recommenders 341754 1
django-formtools 341725 0
interface-meta 341020 0
pytest-parallel 340466 1
jupyter-contrib-nbextensions 339837 1
python-geohash 339240 1
marshmallow-jsonschema 338628 1
pymilvus 338371 1
tf-models-nightly 337945 1
opennsfw2 337888 1
uproot 337477 1
quart 337465 0
textdistance 336911 0
python-dynamodb-lock 336575 1
dbx 336506 1
torchtext 336211 1
nibabel 336114 0
flask-swagger-ui 335851 0
plotly-resampler 335256 1
ffmpeg 334623 1
requests-kerberos 333392 1
random-password-generator 333187 1
django-compressor 332721 0
flask-oauthlib 331433 1
gputil 330687 1
alexapy 330294 0
pem 330075 1
pytest-httpserver 330049 0
google-cloud-ndb 329982 1
snowflake 328868 1
robotframework-seleniumtestability 328750 1
uplink 328152 1
docx2txt 328097 0
nats-py 327058 0
httmock 327006 0
jinja2-cli 326781 1
flake8-import-order 326672 0
dag-factory 326547 1
ulid-py 326434 0
django-crontab 325468 1
types-click 325323 0
autofaker 325069 1
pyreadline 324913 1
clickhouse-toolset 324073 1
django-countries 323689 0
requestsexceptions 323554 0
pyhs2 323447 1
credstash 323433 1
publicsuffix2 323286 1
logzio-python-handler 322796 1
smartystreets-python-sdk 322417 1
openshift 322165 0
httpretty 322056 0
bravado-core 321882 1
tinybird-cli 321853 1
airflow-exporter 320861 1
heapdict 319906 0
isoweek 319523 0
wurlitzer 319383 0
missingno 319273 1
mailchecker 318704 0
httpie 318683 1
pytest-testinfra 318047 0
frictionless 318040 1
htmldocx 318006 1
english-words 317312 1
jsonfield 315994 0
scons 315852 0
gslides 315550 0
signxml 315365 1
pyupgrade 315244 0
svgwrite 315224 0
transitions 315071 0
autoviz 314881 1
pytest-pythonpath 314719 1
netsuitesdk 314642 1
syrupy 314615 0
awsebcli 314488 1
sigmatools 314312 1
kafka 314084 1
kedro 313935 1
pyroute2 313906 0
django-taggit 313823 0
aiostream 313755 0
varint 313711 0
dash-renderjson 313458 1
lightning-lite 313415 1
pylru 313412 0
whoosh 313099 0
pyngrok 312614 0
plotly-express 312170 1
google-cloud-pipeline-components 311934 1
mypy-boto3-ses 311885 1
zipfile-deflate64 311765 1
slack 311621 1
keras-nightly 311420 1
intel-openmp 311384 1
ceja 311271 1
jinja2-pluralize 310853 0
pynput-robocorp-fork 310075 1
pip-licenses 309862 0
pysnooper 309800 0
rfc3339 308755 0
vulture 308466 0
python-openstackclient 308461 0
aws-cdk-integ-tests-alpha 308421 1
python-string-utils 308273 0
rq-scheduler 306426 1
pip-audit 306390 1
mypy-boto3-kms 305935 1
django-csp 305931 0
elasticquery 305854 1
ccard 305589 1
mypy-boto3-elbv2 305540 1
flake8-plugin-utils 305482 0
multipart 305147 1
sphinx-click 304924 1
utils 304084 0
tkinterdnd2 304034 1
asciitree 303977 0
plyfile 303730 1
imgaug 303590 1
django-health-check 303573 0
pyre-extensions 303564 1
azure-monitor-opentelemetry 303377 1
pytest-clarity 303024 1
fastdtw 302935 0
pysam 302706 1
python-on-whales 302223 1
tika 302041 0
elevenlabs 301968 0
apprise 301916 1
sqlalchemy-hana 301307 1
parver 301257 0
sseclient 301177 0
kmodes 300590 1
gnupg 299745 1
pyobjc-framework-pubsub 299654 1
ratelimiter 299162 0
pypcap 298912 1
pyenchant 298416 0
autograd-gamma 298112 1
hupper 297880 0
azure-storage-logging 297481 1
lizard 297306 0
mypy-boto3-sns 297258 0
pytelegrambotapi 296814 0
netapp-ontap 296729 1
pyobjc-framework-applicationservices 296530 1
dataclass-csv 296366 1
grequests 296349 0
pytest-httpx 296155 0
sk-dist 295127 1
aws-cdk-core 295051 0
namex 294787 1
xattr 294742 0
pybtex-docutils 294617 0
translationstring 294525 0
jstyleson 294511 1
cuda-python 294400 0
python-novaclient 294313 0
awslambdaric 293988 1
keyrings-cryptfile 293849 0
pydrive2 293411 0
flaml 293096 1
osc-lib 292967 0
gender-guesser 291743 1
trace-updater 291600 1
pip-install-test 291426 1
nvidia-ml-py3 290701 0
apache-airflow-providers-sendgrid 290495 1
types-certifi 290250 1
seleniumbase 290022 1
pydicom 289772 1
types-boto 289764 1
google-cloud-iam 289180 0
django-guardian 289154 0
deepspeed 289052 1
radon 288896 0
openapi-codec 288830 0
memray 288801 1
dbfread 288519 0
assertpy 288429 0
pybacklogpy 288253 1
graphene-django 287140 0
dataclasses-avroschema 287113 1
mando 286961 0
pyobjc-framework-cocoa 286905 1
sox 286755 1
mkl 286250 1
python-cinderclient 286199 0
rpaframework-windows 286178 1
lap 286016 1
coolname 285845 1
qcelemental 285810 0
flyteidl 285454 0
sqllineage 285336 1
google-python-cloud-debugger 285267 1
mypy-boto3-eks 285129 1
pytest-flask 284817 0
line-profiler 284782 1
nanoid 284502 0
macholib 284370 1
flytekit 284230 1
m2crypto 283804 1
flasgger 283736 1
demjson 283387 1
pydriller 283134 0
python-barcode 282830 0
cloudml-hypertune 282746 1
libsass 281893 0
single-source 281613 0
rstr 281554 1
path-py 281545 1
fixtures 281525 0
sqlalchemy-stubs 281432 1
multiaddr 281220 0
pyfarmhash 280280 1
html-text 280221 1
django-webpack-loader 280089 0
mailjet-rest 279257 1
numpy-quaternion 278756 1
marko 278651 1
torchbiggraph 278145 1
textfsm 277552 0
opentelemetry-exporter-jaeger-thrift 277422 0
markdownify 277321 0
marisa-trie 277175 0
aws-cdk-cx-api 277174 0
apitools 277106 1
inflector 277000 1
pydotplus 276937 1
pyunormalize 276883 1
bigquery-schema-generator 276681 1
logzero 276557 0
cloudinary 276546 0
oci-cli 276265 1
tracerite 276177 0
youtube-dl 276116 0
opentelemetry-instrumentation-aws-lambda 276080 1
apache-airflow-providers-datadog 276071 1
jsonpath 276051 0
us 275908 1
torchdata 275484 1
p4python 275334 1
java-manifest 274961 1
starsessions 274681 0
pbspark 274326 1
protoc-gen-swagger 274122 0
lkml 274098 1
pytest-reportportal 273882 1
langid 273816 0
mobly 273593 1
catkin-pkg 273216 0
pypd 273164 1
dotmap 272919 0
aws-cdk-aws-glue-alpha 272786 1
ipfshttpclient 272718 0
httpie-edgegrid 272669 1
json-tricks 272558 0
pythran-openblas 272235 0
colorcet 272229 0
pygraphviz 272183 1
pysolr 272129 0
pyzipcode 272068 1
aws-cdk-aws-iam 271018 0
anthropic 270918 1
pygal 270720 1
fixedint 270605 1
rauth 270375 1
pycti 270234 1
west 270184 0
flask-apispec 270165 1
anybadge 270128 0
flake8-bandit 269859 0
types-pkg-resources 269791 0
django-rest-swagger 269456 0
django-waffle 269390 1
datadog-lambda 269324 1
cantools 269182 1
agate-sql 268831 0
aiohttp-session 267493 1
scrapbook 267425 1
flake8-broken-line 267258 1
camelot-py 267029 1
s2sphere 266958 1
aws-cdk-cloud-assembly-schema 266812 0
databricks-pypi2 266088 1
aws-cdk-region-info 265875 0
astropy-iers-data 265762 1
types-bleach 265666 1
lml 265484 0
lightning-fabric 265329 1
pyexcel-io 265142 0
apache-airflow-providers-pagerduty 265094 1
c7n-mailer 264990 0
aws-cdk-aws-s3 264775 0
pyworld 264491 0
petl 264451 1
django-prometheus 264371 0
jupyter-packaging 264260 0
xdg 263811 0
bravado 263780 1
sparse 263702 0
multiping 263526 1
apache-airflow-providers-salesforce 263135 1
respx 262977 0
stackprinter 262974 1
dlib 262966 0
decli 262886 0
dagster-webserver 262874 1
pytest-nunit 262826 1
typed-argument-parser 262811 0
chromedriver-autoinstaller 262759 1
tink 262462 1
aiosmtplib 262395 0
art 262153 1
oslo-context 261710 0
gto 261290 1
2captcha-python 261221 1
statsig 261196 1
trafaret 261013 1
ipaddr 260961 0
awscliv2 260678 1
recordclass 260643 1
pyomo 260527 0
simple-ddl-parser 260293 1
etcd3 260278 1
farama-notifications 260067 0
pysmi 259935 0
types-beautifulsoup4 259568 0
ip3country 259439 1
apipkg 259067 0
django-reversion 258998 0
interpret-core 258803 1
oslo-log 258678 0
gnews 258655 1
azure-schemaregistry 258545 1
docxcompose 258340 0
freetype-py 258327 0
azure-core-tracing-opentelemetry 257909 1
clickhouse-cityhash 257833 0
cvxopt 257829 1
fernet 257801 1
submitit 257703 1
openvino-telemetry 257560 1
tsdownsample 257370 1
temporalio 257086 1
clipboard 257080 1
commitizen 256980 0
mlserver 256910 1
aws-cdk-aws-kms 256610 0
braintree 256340 0
tinsel 256063 1
pycaret 255992 1
openvino 255811 1
agate-excel 255510 0
pyathenajdbc 255224 1
pyfcm 254818 0
yake 254804 1
blackduck 254697 1
jaxtyping 254140 0
python-igraph 254029 0
appengine-python-standard 253627 1
airflow-dbt 253465 1
auth 253434 1
dpkt 253415 0
aws-cdk-aws-ec2 253308 0
pyct 253238 0
pypinyin 253149 0
rouge 252189 1
cheetah3 252145 0
opentelemetry-instrumentation-sqlite3 251766 1
pysnmp 251648 1
pytest-spark 251425 1
capstone 251163 0
supafunc 251121 1
holoviews 251015 1
django-log-request-id 251000 1
nbdime 250928 1
pytest-datadir 250791 0
plaster 250743 0
pyvisa 250409 0
plaster-pastedeploy 250367 0
postgrest 250236 1
transform-tools 250127 1
ipyparallel 250100 0
torch-model-archiver 250083 0
pickle5 250075 1
aws-cdk-aws-events 249949 0
flake8-tidy-imports 249604 1
pysqlite3 249565 1
suds 249244 1
google-cloud-profiler 248640 1
django-admin-rangefilter 248365 1
django-axes 247891 0
aws-cdk-aws-events-targets 247818 1
django-auth-ldap 247790 1
aws-cdk-aws-cloudwatch 247687 0
apache-airflow-backport-providers-cncf-kubernetes 247662 1
ctranslate2 247615 0
arnparse 247605 0
transaction 247387 0
py-grpc-prometheus 247379 0
clr-loader 247011 1
flask-oidc 246998 1
datadiff 246870 0
chiavdf 246512 1
rangehttpserver 246343 0
zipfile38 246329 1
pybtex 246161 0
types-chardet 246053 1
latexcodec 245942 0
gekko 245888 1
django-ratelimit 245712 1
molecule-plugins 245691 1
aws-cdk-aws-lambda 245351 0
onnxmltools 245210 1
apiclient 244871 1
invisible-watermark 244794 1
pythonnet 244384 1
tf2onnx 244341 1
unstructured-client 243922 0
records 243717 1
prometheus-fastapi-instrumentator 243576 0
vtk 243437 0
aws-cdk-aws-logs 243363 0
python-redis-lock 243323 0
cloudscraper 243257 0
opentelemetry-exporter-jaeger-proto-grpc 243180 0
aiomysql 242962 0
cron-converter 242882 1
pynose 242682 1
types-tzlocal 242590 1
mypy-boto3-cloudwatch 242492 1
wiki-fetch 242418 1
aiogram 241904 1
django-auditlog 241711 1
adtk 241676 1
openlineage-python 241582 1
